id,kategorie,unterkategorie,titel,preis,lizenz,dateiformat,editor,asset_type,beschreibung,features,download_url
101,"HTML Templates","Landing Pages","Modern Landing Page",15.00,Kommerziell,HTML/CSS,"VS Code / Notepad++",digital_file,"Responsives Landing-Page-Template mit Hero-Bereich CTA und Kundenstimmen","Responsives Grid | CTA-Fokus | Farbschema anpassbar",https://example.com/download/101
102,"HTML Templates","Dashboard Templates","SaaS Dashboard",24.00,Kommerziell,HTML/CSS,"VS Code",digital_file,"Modernes Dashboard-Layout mit Statistik-Karten Diagrammen und Nutzerprofil","Interaktive Karten | Darkmode | Responsive Tabellen",https://example.com/download/102
103,"HTML Templates","Portfolio Templates","Portfolio Showcase",150,Kommerziell,HTML/CSS,WebStorm,digital_file,"Schickes Portfolio-Template für Designer Fotografen und Freelancer","Projektgalerie | Kontaktformular | Animierte Übergänge",https://example.com/download/103
104,"HTML Templates","Landing Pages","Product Feature Block",6.50,Kommerziell,HTML/CSS,"VS Code",digital_file,"Produkt-Feature-Abschnitt mit Ikon-Grid und Vergleichstabelle","Icon-Grid | Responsiver Aufbau | Launch-CTA",https://example.com/download/104
105,"HTML Templates","Landing Pages","Pricing Table Kit",4.99,Kommerziell,HTML/CSS,"VS Code",digital_file,"Responsives Pricing-Table-Layout für SaaS-Abos und Produktpakete","Highlight-Spalte | Monatlich/Jährlich | Preis-Toggles",https://example.com/download/105
201,"Video Material","Promo & Marketing","Promo Video Pack",14.00,Kommerziell,MP4,"Premiere Pro",video,"Sammlung hochwertiger Promo-Vorlagen für Social Media-Kampagnen","Modernes Intro | Textanimationen | Dynamische Übergänge",https://example.com/download/201
202,"Video Material","Präsentation & Webinar","Webinar Intro",12.00,Kommerziell,MP4,"After Effects",video,"Animierte Intro-Sequenz für Online-Präsentationen und Live-Webinare","Countdown-Effekt | Textplatzhalter | Branding-Sektion",https://example.com/download/202
203,"Video Material","Social Media","Social Media Reel",8.50,Kommerziell,MP4,CapCut,video,"Short-Form-Video-Vorlage für Instagram Reels und TikTok-Clips","Vertikales Format | Text-Overlays | Soundplaceholders",https://example.com/download/203
204,"Video Material","Hintergründe & Assets","Animated Backgrounds",0.00,Kommerziell,MP4,"DaVinci Resolve",video,"Animierte Hintergründe für Banner Slides und Werbespots","Loopfähig | Farbvarianten | HD-Export",https://example.com/download/204
205,"Video Material","Präsentation & Webinar","Demo Screen Recordings",11.00,Kommerziell,MP4,Camtasia,video,"Professionelle Bildschirmaufnahmen für Produktdemos und Tutorials","Voiceover-Placeholder | Cursor-Animationen | Screencast-Szenen",https://example.com/download/205
301,Blueprints,Architektur,"App Architecture Blueprint",7.50,Kommerziell,PDF,Figma,digital_file,"Strukturierte App-Architektur mit Komponenten- Daten- und Infrastrukturübersicht","Komponentenfluss | Backend-Domänen | Deployment-Map",https://example.com/download/301
302,Blueprints,"UX & Design","UX Flowchart Kit",5.99,Kommerziell,PDF,Miro,digital_file,"Visuelle UX-Workflows zur Planung von Nutzerreisen und Interaktionen","User Journey Map | Wireframe-Phasen | Conversion-Pfade",https://example.com/download/302
303,Blueprints,Systemdesign,"SaaS System Map",250,Kommerziell,PDF,Lucidchart,digital_file,"Blueprint für SaaS-Systemkomponenten Integrationen und APIs","Service-Übersicht | Datenflüsse | API-Schnittstellen",https://example.com/download/303
304,Blueprints,"Daten & Analytics","Data Pipeline Blueprint",45,Kommerziell,PDF,Draw.io,digital_file,"Datenfluss-Blueprint für ETL Analytics und Reporting-Architektur","Quellen-Mapping | Batch- und Echtzeit | Datenqualitätsregeln",https://example.com/download/304
305,Blueprints,Architektur,"API Design Blueprint",6.99,Kommerziell,PDF,Postman,digital_file,"API-Blueprint mit Endpunkten Authentifizierung und Fehlerbehandlung","REST-Endpoints | Auth-Schema | Fehlercodes",https://example.com/download/305
401,"UI Kit",Mobile,"Mobile UI Kit",13.50,Kommerziell,Figma,Figma,digital_file,"UI-Komponenten für moderne mobile Anwendungen und Prototypen","Mobilfreundliches Layout | Buttons & Formulare | Kartenkomponenten",https://example.com/download/401
402,"UI Kit","Admin & Dashboard","Admin Panel Kit",14.00,Kommerziell,Figma,"Adobe XD",digital_file,"Admin-Oberfläche mit Tabellen Widgets Navigationsleiste und KPIs","Dashboard-Widgets | Tabellen-Layouts | Interaktive Filter",https://example.com/download/402
403,"UI Kit",E-Commerce,"Ecommerce UI Kit",15.99,Kommerziell,Figma,Sketch,digital_file,"UI-Set für Produktseiten Warenkorb Checkout und Produktdetailseiten","Produktkarten | Checkout-Fluss | Kundenbewertungen",https://example.com/download/403
404,"UI Kit",Formulare,"Form Component Set",0.00,Kommerziell,Figma,Framer,digital_file,"Sammlung responsiver Formularelemente wie Inputs Toggles und Error States","Validierungs-States | Responsive Inputs | Schrittweise Formulare",https://example.com/download/404
405,"UI Kit","Admin & Dashboard","Dashboard Widget Kit",8.50,Kommerziell,Figma,Figma,digital_file,"Widget-Sammlung für KPI-Übersichten Analysen und Team-Reports","KPI-Karten | Diagrammmodule | Status-Indikatoren",https://example.com/download/405
